id,time,lat,lon,mag,along_strike_distance
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476
us7000blt2,2020-09-07 21:22:43.085000,7.5843,-36.9728,5.046,108.09607316827287
us7000bjem,2020-09-07 21:18:59.974000,7.8729,-37.0216,5.208,114.29323671071563
us7000blsw,2020-09-07 11:03:17.037000,7.6409,-37.3509,5.127000000000001,149.18797806140955
us7000bivi,2020-09-06 08:29:47.435000,7.7571,-37.1468,5.046,126.66668506877639
us7000biu8,2020-09-06 06:51:18.470000,7.6829,-37.1544,6.7,127.37270165442673
us70001,2020-09-08 06:39:18,7.764,-37.001,4.965000000000001,110.65097765128277
us70002,2020-09-06 11:06:53,7.986,-37.049,4.884,119.93489668105762
us70003,2020-09-06 21:39:33,7.796,-37.048,4.884,116.09126368418698
us70004,2020-09-07 21:19:05,7.79,-37.05,4.803,116.25308520611667
us70005,2020-09-07 02:43:05,7.738,-37.011,4.722,111.61006893315307
us70006,2020-09-07 03:06:45,7.756,-36.978,4.722,108.0657747118379
us70007,2020-09-07 04:45:20,7.747,-37.047,4.722,115.61802379051906
us70008,2020-09-07 08:50:12,7.76,-37.019,4.722,112.60622931292328
us70009,2020-09-07 10:25:57,7.82,-37.011,4.722,112.30701937444871
us700010,2020-09-06 08:01:12,7.966,-37.065,4.722,121.08427340655574
us700011,2020-09-06 12:16:52,7.951,-37.054,4.722,119.51367424076251
us700012,2020-09-06 13:19:03,7.836,-37.03,4.722,114.6050705925412
us700013,2020-09-06 23:19:08,7.79,-37.038,4.722,114.93427461220604
us700014,2020-09-08 19:36:02,7.782,-36.981,4.641,108.59511254260467
us700015,2020-09-07 06:07:13,7.746,-37.03,4.641,113.73970909105259
us700016,2020-09-07 07:44:33,7.744,-37.02,4.641,112.62815182405659
us700017,2020-09-07 11:19:59,7.749,-36.925,4.641,102.18609723753131
us700018,2020-09-07 21:15:10,7.825,-36.976,4.641,108.54270385049983
us700019,2020-09-06 07:07:55,7.708,-37.096,4.641,120.91539222166028
us700020,2020-09-06 07:26:35,7.802,-36.867,4.641,96.30098119613486
us700021,2020-09-06 10:16:56,7.748,-36.849,4.641,93.80872200423859
us700022,2020-09-06 14:18:36,7.82,-36.988,4.641,109.78815087080235
us700023,2020-09-06 19:05:48,7.824,-37.015,4.641,112.79756838944103
us700024,2020-09-06 22:46:12,7.766,-37.074,4.641,118.70164187518218
