net,sta,lat,lon,dep,azi,dist
II,BORG,64.7474,-21.3268,110.0,7.357919315301011,6436.477052585931
II,CMLA,37.7637,-25.5243,429.0,16.04694176329447,3493.4355151835816
II,ESK,55.3167,-3.205,242.0,22.42124811226536,6023.400541529272
IU,TBT,28.6794,-17.9145,180.0,36.98399898095294,2999.372863729725
II,KIV,43.9553,42.6863,1054.0,46.64025960948096,8514.593709730978
II,SACV,14.9702,-23.6085,387.0,58.15775550082057,1572.7380949141948
G,MBO,14.392024,-16.955467,3.0,68.7529016331077,2207.17107344167
IU,KOWA,14.4967,-4.014,321.0,75.01071069201332,3570.5352513564585
IU,FURI,8.8952,38.6798,2570.0,82.92435453682813,8213.205285951475
G,EDA,3.778868,10.153427,140.0,92.13963123403619,5128.045771090535
IU,LSZ,-15.2779,28.1882,1200.0,109.95866225717978,7520.860037133205
IU,TSUM,-19.2022,17.5838,1260.0,117.67297549932987,6585.955964105405
II,ASCN,-7.9327,-14.3601,173.0,125.27591929851567,2958.957520715028
G,CRZF,-46.43096,51.855308,140.0,136.21714279348413,10461.00782142256
II,WRAB,-19.9336,134.36,366.0,144.42146491854382,18308.492919443517
G,TRIS,-37.0681,-12.3152,60.0,155.1144654111215,5536.481903076246
IU,CASY,-66.2792,110.5354,10.0,165.5625098184651,13018.000678218561
IU,RCBR,-5.8274,-35.9014,400.0,179.57786291823288,1495.8960866048708
II,HOPE,-54.2836,-36.4879,20.0,180.3244629095045,6869.108498297967
G,SPB,-23.592691,-47.426979,647.0,199.46755997972647,3678.1080614755538
IU,TRQA,-38.0568,-61.9787,540.0,206.18427525844592,5738.071869164072
G,PEL,-33.143607,-70.67494,700.0,217.08519596268667,5821.318465097342
G,ICC,-20.284,-70.035004,950.0,229.72597742091293,4844.099603674515
IU,SAML,-8.9489,-63.1831,120.0,239.1017320377204,3532.8204714936355
II,NNA,-11.9875,-76.8422,575.0,244.65989793441022,5017.593023856272
IU,PTGA,-0.7308,-59.9666,237.0,251.7263578947049,2819.1659816134384
G,CAY,4.948,-52.317001,25.0,261.4015514592034,1830.641690340116
IU,SDV,8.8839,-70.634,1620.0,274.4801705939932,3816.3217084530474
CU,BBGH,13.1434,-59.5588,180.0,285.1161066925536,2647.281032942561
CU,ANWB,17.66853,-61.78557,39.0,294.0228450561758,3005.259638592622
IU,DWPF,28.1103,-81.4327,30.0,301.29796963323685,5275.5573862521815
IU,BBSR,32.371299,-64.696299,30.0,316.59880084373935,4031.85925984775
IU,HRV,42.5064,-71.5583,200.0,323.814515683462,5194.980517407847
IM,IL08,64.790298,-146.796906,505.0,336.47570898706107,10195.587710020876
IM,ATTU,52.882099,173.164307,250.0,341.1500533734771,12748.715752424689
G,IVI,61.205808,-48.171178,15.0,352.7768417335154,6022.101985563315
